cohort_definition_id,age_group,sex,n,cdm_name
4,"[0,5]",Female,44,CPRD GOLD
4,"[0,5]",Male,53,CPRD GOLD
4,"(5,10]",Female,83,CPRD GOLD
4,"(5,10]",Male,109,CPRD GOLD
4,"(10,15]",Female,99,CPRD GOLD
4,"(10,15]",Male,108,CPRD GOLD
4,"(15,20]",Female,126,CPRD GOLD
4,"(15,20]",Male,88,CPRD GOLD
4,"(20,25]",Female,144,CPRD GOLD
4,"(20,25]",Male,103,CPRD GOLD
4,"(25,30]",Female,138,CPRD GOLD
4,"(25,30]",Male,103,CPRD GOLD
4,"(30,35]",Female,177,CPRD GOLD
4,"(30,35]",Male,98,CPRD GOLD
4,"(35,40]",Female,126,CPRD GOLD
4,"(35,40]",Male,115,CPRD GOLD
4,"(40,45]",Female,138,CPRD GOLD
4,"(40,45]",Male,122,CPRD GOLD
4,"(45,50]",Female,126,CPRD GOLD
4,"(45,50]",Male,108,CPRD GOLD
4,"(50,55]",Female,122,CPRD GOLD
4,"(50,55]",Male,99,CPRD GOLD
4,"(55,60]",Female,106,CPRD GOLD
4,"(55,60]",Male,87,CPRD GOLD
4,"(60,65]",Female,69,CPRD GOLD
4,"(60,65]",Male,61,CPRD GOLD
4,"(65,70]",Female,42,CPRD GOLD
4,"(65,70]",Male,56,CPRD GOLD
4,"(70,75]",Female,26,CPRD GOLD
4,"(70,75]",Male,31,CPRD GOLD
4,"(75,80]",Female,24,CPRD GOLD
4,"(75,80]",Male,25,CPRD GOLD
4,"(80,85]",Female,17,CPRD GOLD
4,"(80,85]",Male,14,CPRD GOLD
4,"(85,90]",Female,19,CPRD GOLD
4,"(85,90]",Male,9,CPRD GOLD
4,"(90,95]",Female,5,CPRD GOLD
4,"(90,95]",Male,7,CPRD GOLD
4,"(95,100]",Female,NA,CPRD GOLD
4,"(95,100]",Male,NA,CPRD GOLD
4,"(105,110]",Female,NA,CPRD GOLD
5,"[0,5]",Female,39,CPRD GOLD
5,"[0,5]",Male,46,CPRD GOLD
5,"(5,10]",Female,78,CPRD GOLD
5,"(5,10]",Male,102,CPRD GOLD
5,"(10,15]",Female,88,CPRD GOLD
5,"(10,15]",Male,95,CPRD GOLD
5,"(15,20]",Female,106,CPRD GOLD
5,"(15,20]",Male,79,CPRD GOLD
5,"(20,25]",Female,122,CPRD GOLD
5,"(20,25]",Male,95,CPRD GOLD
5,"(25,30]",Female,122,CPRD GOLD
5,"(25,30]",Male,93,CPRD GOLD
5,"(30,35]",Female,165,CPRD GOLD
5,"(30,35]",Male,90,CPRD GOLD
5,"(35,40]",Female,112,CPRD GOLD
5,"(35,40]",Male,98,CPRD GOLD
5,"(40,45]",Female,122,CPRD GOLD
5,"(40,45]",Male,103,CPRD GOLD
5,"(45,50]",Female,106,CPRD GOLD
5,"(45,50]",Male,92,CPRD GOLD
5,"(50,55]",Female,104,CPRD GOLD
5,"(50,55]",Male,86,CPRD GOLD
5,"(55,60]",Female,90,CPRD GOLD
5,"(55,60]",Male,71,CPRD GOLD
5,"(60,65]",Female,58,CPRD GOLD
5,"(60,65]",Male,45,CPRD GOLD
5,"(65,70]",Female,36,CPRD GOLD
5,"(65,70]",Male,45,CPRD GOLD
5,"(70,75]",Female,21,CPRD GOLD
5,"(70,75]",Male,26,CPRD GOLD
5,"(75,80]",Female,18,CPRD GOLD
5,"(75,80]",Male,17,CPRD GOLD
5,"(80,85]",Female,9,CPRD GOLD
5,"(80,85]",Male,12,CPRD GOLD
5,"(85,90]",Female,15,CPRD GOLD
5,"(85,90]",Male,5,CPRD GOLD
5,"(90,95]",Female,NA,CPRD GOLD
5,"(90,95]",Male,NA,CPRD GOLD
5,"(95,100]",Female,NA,CPRD GOLD
5,"(95,100]",Male,NA,CPRD GOLD
6,"[0,5]",Female,516,CPRD GOLD
6,"[0,5]",Male,601,CPRD GOLD
6,"(5,10]",Female,660,CPRD GOLD
6,"(5,10]",Male,812,CPRD GOLD
6,"(10,15]",Female,590,CPRD GOLD
6,"(10,15]",Male,717,CPRD GOLD
6,"(15,20]",Female,733,CPRD GOLD
6,"(15,20]",Male,559,CPRD GOLD
6,"(20,25]",Female,1054,CPRD GOLD
6,"(20,25]",Male,445,CPRD GOLD
6,"(25,30]",Female,1445,CPRD GOLD
6,"(25,30]",Male,467,CPRD GOLD
6,"(30,35]",Female,1718,CPRD GOLD
6,"(30,35]",Male,684,CPRD GOLD
6,"(35,40]",Female,1756,CPRD GOLD
6,"(35,40]",Male,1150,CPRD GOLD
6,"(40,45]",Female,2128,CPRD GOLD
6,"(40,45]",Male,1599,CPRD GOLD
6,"(45,50]",Female,2686,CPRD GOLD
6,"(45,50]",Male,2171,CPRD GOLD
6,"(50,55]",Female,3387,CPRD GOLD
6,"(50,55]",Male,2927,CPRD GOLD
